code,Qwen/Qwen3-Embedding-4B_max,Qwen/Qwen3-Embedding-4B_mean,avg
arb_Latn,0.33,0.1123,0.33
lua_Latn,0.3162,0.0945,0.3162
ydd_Hebr,0.5425,0.176,0.5425
nya_Latn,0.247,0.0744,0.247
asm_Beng,0.8123,0.2715,0.8123
fur_Latn,0.8478,0.3784,0.8478
ace_Arab,0.165,0.0337,0.165
mag_Deva,0.9595,0.3837,0.9595
tum_Latn,0.2204,0.0609,0.2204
est_Latn,0.8992,0.4102,0.8992
zsm_Latn,0.9822,0.6234,0.9822
grn_Latn,0.496,0.1611,0.496
als_Latn,0.9111,0.4093,0.9111
fij_Latn,0.3221,0.104,0.3221
ewe_Latn,0.2441,0.0591,0.2441
lao_Laoo,0.6186,0.1567,0.6186
bho_Deva,0.9229,0.3472,0.9229
tgk_Cyrl,0.584,0.2251,0.584
hne_Deva,0.9269,0.3626,0.9269
kin_Latn,0.1808,0.0532,0.1808
rus_Cyrl,0.996,0.6646,0.996
zho_Hant,0.996,0.7894,0.996
nob_Latn,0.9881,0.6353,0.9881
sna_Latn,0.2204,0.0611,0.2204
hun_Latn,0.9773,0.5353,0.9773
lmo_Latn,0.8468,0.3717,0.8468
ltz_Latn,0.8498,0.3782,0.8498
quy_Latn,0.3676,0.1038,0.3676
ibo_Latn,0.2174,0.0627,0.2174
tuk_Latn,0.4447,0.1517,0.4447
kor_Hang,0.9852,0.5912,0.9852
kan_Knda,0.8982,0.2664,0.8982
bul_Cyrl,0.9891,0.588,0.9891
mal_Mlym,0.8824,0.2648,0.8824
fuv_Latn,0.2648,0.0881,0.2648
plt_Latn,0.2609,0.0726,0.2609
lvs_Latn,0.9615,0.4732,0.9615
tat_Cyrl,0.6354,0.2401,0.6354
dzo_Tibt,0.0128,0.0011,0.0128
ace_Latn,0.5158,0.1543,0.5158
isl_Latn,0.6146,0.2084,0.6146
snd_Arab,0.8607,0.3334,0.8607
fin_Latn,0.8992,0.4625,0.8992
tzm_Tfng,0.0099,0.0025,0.0099
dyu_Latn,0.254,0.0667,0.254
slk_Latn,0.9842,0.5671,0.9842
dik_Latn,0.2984,0.0887,0.2984
cjk_Latn,0.2411,0.0775,0.2411
szl_Latn,0.8676,0.3923,0.8676
kik_Latn,0.2925,0.07,0.2925
ukr_Cyrl,0.9862,0.5553,0.9862
lug_Latn,0.2095,0.0662,0.2095
arb_Arab,0.998,0.6532,0.998
taq_Tfng,0.0237,0.0028,0.0237
ast_Latn,0.9812,0.6149,0.9812
ilo_Latn,0.6117,0.2299,0.6117
acm_Arab,0.9812,0.6207,0.9812
cym_Latn,0.5751,0.221,0.5751
bos_Latn,0.9773,0.5748,0.9773
kea_Latn,0.8063,0.3701,0.8063
mos_Latn,0.2579,0.0672,0.2579
san_Deva,0.8113,0.2798,0.8113
knc_Latn,0.2816,0.0814,0.2816
khk_Cyrl,0.581,0.1795,0.581
amh_Ethi,0.335,0.0862,0.335
tir_Ethi,0.0958,0.019,0.0958
tpi_Latn,0.6957,0.2815,0.6957
hye_Armn,0.8735,0.33,0.8735
bem_Latn,0.251,0.0752,0.251
khm_Khmr,0.6601,0.1754,0.6601
pol_Latn,0.9931,0.6059,0.9931
uzn_Latn,0.7915,0.3352,0.7915
ory_Orya,0.8478,0.2539,0.8478
min_Arab,0.1008,0.022,0.1008
ind_Latn,0.9951,0.686,0.9951
min_Latn,0.7204,0.3229,0.7204
ron_Latn,0.998,0.6366,0.998
ita_Latn,0.999,0.7133,0.999
uig_Arab,0.4417,0.1355,0.4417
bak_Cyrl,0.6393,0.2235,0.6393
kas_Arab,0.5672,0.1662,0.5672
ces_Latn,0.9891,0.5877,0.9891
pag_Latn,0.6354,0.2381,0.6354
run_Latn,0.1798,0.0533,0.1798
pbt_Arab,0.6591,0.2588,0.6591
pan_Guru,0.917,0.2978,0.917
crh_Latn,0.7836,0.3294,0.7836
knc_Arab,0.0781,0.012,0.0781
mai_Deva,0.9397,0.349,0.9397
war_Latn,0.8271,0.3427,0.8271
lit_Latn,0.916,0.4789,0.916
epo_Latn,0.9753,0.5755,0.9753
sot_Latn,0.2559,0.0735,0.2559
tel_Telu,0.8686,0.258,0.8686
luo_Latn,0.2698,0.088,0.2698
twi_Latn,0.3735,0.1079,0.3735
pes_Arab,0.9565,0.4971,0.9565
hin_Deva,0.9832,0.4408,0.9832
kmr_Latn,0.3962,0.1466,0.3962
kir_Cyrl,0.6324,0.2145,0.6324
apc_Arab,0.9733,0.5914,0.9733
fao_Latn,0.5474,0.1846,0.5474
urd_Arab,0.9496,0.4193,0.9496
azb_Arab,0.5217,0.1828,0.5217
ayr_Latn,0.2401,0.0617,0.2401
oci_Latn,0.9704,0.5371,0.9704
lus_Latn,0.4743,0.1379,0.4743
kaz_Cyrl,0.7421,0.2563,0.7421
shn_Mymr,0.1393,0.0081,0.1393
npi_Deva,0.9249,0.3449,0.9249
nso_Latn,0.2875,0.0823,0.2875
scn_Latn,0.837,0.3664,0.837
tam_Taml,0.8883,0.2575,0.8883
tha_Thai,0.9773,0.5089,0.9773
hat_Latn,0.6858,0.3018,0.6858
kat_Geor,0.7144,0.2652,0.7144
taq_Latn,0.2668,0.0805,0.2668
yue_Hant,0.999,0.8051,0.999
ell_Grek,0.9348,0.3802,0.9348
lij_Latn,0.8617,0.3885,0.8617
bod_Tibt,0.0563,0.0065,0.0563
hau_Latn,0.3271,0.1099,0.3271
sag_Latn,0.2698,0.0809,0.2698
mri_Latn,0.415,0.1449,0.415
nus_Latn,0.1551,0.0319,0.1551
ckb_Arab,0.4318,0.1496,0.4318
vec_Latn,0.9565,0.5182,0.9565
dan_Latn,0.996,0.6546,0.996
spa_Latn,0.997,0.7511,0.997
som_Latn,0.2451,0.0753,0.2451
lim_Latn,0.834,0.3805,0.834
jav_Latn,0.8231,0.4073,0.8231
zho_Hans,0.9931,0.8003,0.9931
ssw_Latn,0.2026,0.0522,0.2026
prs_Arab,0.9486,0.4929,0.9486
sun_Latn,0.8419,0.3835,0.8419
nno_Latn,0.9585,0.5453,0.9585
aka_Latn,0.3458,0.0932,0.3458
ars_Arab,0.9951,0.6499,0.9951
swe_Latn,0.9921,0.6625,0.9921
eng_Latn,1.0,1.0,1.0
tgl_Latn,0.919,0.4654,0.919
acq_Arab,0.9911,0.6252,0.9911
nld_Latn,0.999,0.6715,0.999
kam_Latn,0.252,0.077,0.252
por_Latn,1.0,0.7732,1.0
sat_Olck,0.0109,0.0009,0.0109
mar_Deva,0.9269,0.3612,0.9269
vie_Latn,0.998,0.7014,0.998
lin_Latn,0.3221,0.1046,0.3221
fra_Latn,0.999,0.7529,0.999
srd_Latn,0.8103,0.3575,0.8103
cat_Latn,0.998,0.6441,0.998
kac_Latn,0.2698,0.0561,0.2698
gle_Latn,0.3251,0.1106,0.3251
yor_Latn,0.2787,0.0696,0.2787
bam_Latn,0.253,0.0665,0.253
zul_Latn,0.1848,0.0512,0.1848
kon_Latn,0.336,0.0993,0.336
hrv_Latn,0.9852,0.573,0.9852
bjn_Latn,0.7836,0.355,0.7836
kab_Latn,0.0731,0.0234,0.0731
kas_Deva,0.5464,0.1441,0.5464
bel_Cyrl,0.8864,0.3659,0.8864
pap_Latn,0.8063,0.3829,0.8063
slv_Latn,0.9536,0.5028,0.9536
glg_Latn,0.997,0.6711,0.997
swh_Latn,0.5277,0.1961,0.5277
tsn_Latn,0.248,0.065,0.248
xho_Latn,0.254,0.069,0.254
sin_Sinh,0.419,0.1121,0.419
ban_Latn,0.7095,0.2618,0.7095
ltg_Latn,0.5385,0.1805,0.5385
