code,FacebookAI/xlm-roberta-base_max,FacebookAI/xlm-roberta-base_mean,avg
sag_Latn,0.0287,0.0106,0.0287
bod_Tibt,0.0059,0.0028,0.0059
lij_Latn,0.0682,0.0433,0.0682
hau_Latn,0.1383,0.0763,0.1383
ell_Grek,0.7204,0.376,0.7204
kat_Geor,0.4387,0.2336,0.4387
yue_Hant,0.7826,0.4853,0.7826
taq_Latn,0.0415,0.014,0.0415
hat_Latn,0.0603,0.0236,0.0603
tam_Taml,0.334,0.1687,0.334
tha_Thai,0.5899,0.335,0.5899
scn_Latn,0.0543,0.0439,0.0543
npi_Deva,0.4615,0.2452,0.4615
nso_Latn,0.0464,0.0219,0.0464
kaz_Cyrl,0.4368,0.2227,0.4368
shn_Mymr,0.004,0.0014,0.004
lus_Latn,0.0356,0.0154,0.0356
oci_Latn,0.2559,0.1564,0.2559
ayr_Latn,0.0158,0.006,0.0158
azb_Arab,0.0217,0.0132,0.0217
urd_Arab,0.4822,0.2435,0.4822
fao_Latn,0.1364,0.0881,0.1364
fra_Latn,0.9101,0.6354,0.9101
lin_Latn,0.0494,0.0209,0.0494
vie_Latn,0.9121,0.5954,0.9121
mar_Deva,0.4951,0.2724,0.4951
sat_Olck,0.0,0.0,0.0
kam_Latn,0.0524,0.0239,0.0524
por_Latn,0.9792,0.776,0.9792
nld_Latn,0.8962,0.6767,0.8962
acq_Arab,0.6334,0.3779,0.6334
eng_Latn,1.0,1.0,1.0
tgl_Latn,0.4743,0.271,0.4743
swe_Latn,0.9891,0.8024,0.9891
ars_Arab,0.7075,0.4127,0.7075
nno_Latn,0.8449,0.5721,0.8449
aka_Latn,0.0316,0.0138,0.0316
sun_Latn,0.2648,0.1672,0.2648
ssw_Latn,0.0296,0.0119,0.0296
prs_Arab,0.8725,0.5764,0.8725
zho_Hans,0.7915,0.4886,0.7915
jav_Latn,0.4061,0.2311,0.4061
lim_Latn,0.1255,0.0947,0.1255
som_Latn,0.0919,0.0578,0.0919
spa_Latn,0.914,0.6694,0.914
ckb_Arab,0.002,0.0013,0.002
nus_Latn,0.0049,0.0021,0.0049
vec_Latn,0.1542,0.1126,0.1542
dan_Latn,0.9792,0.7971,0.9792
mri_Latn,0.0247,0.0113,0.0247
ben_Beng,0.3043,0.1583,0.3043
mlt_Latn,0.0208,0.0087,0.0208
heb_Hebr,0.8854,0.5422,0.8854
tso_Latn,0.0405,0.0154,0.0405
ltg_Latn,0.0445,0.0285,0.0445
ban_Latn,0.1285,0.0912,0.1285
sin_Sinh,0.3636,0.1685,0.3636
tsn_Latn,0.0306,0.0116,0.0306
xho_Latn,0.0385,0.0186,0.0385
glg_Latn,0.9575,0.6928,0.9575
swh_Latn,0.5741,0.306,0.5741
pap_Latn,0.1097,0.0734,0.1097
slv_Latn,0.9032,0.5528,0.9032
bel_Cyrl,0.42,0.2049,0.42
kab_Latn,0.0089,0.005,0.0089
kas_Deva,0.0069,0.0033,0.0069
bjn_Latn,0.2125,0.1442,0.2125
kon_Latn,0.0395,0.016,0.0395
hrv_Latn,0.9328,0.6206,0.9328
zul_Latn,0.0247,0.0151,0.0247
yor_Latn,0.0188,0.0094,0.0188
bam_Latn,0.0257,0.0113,0.0257
gle_Latn,0.165,0.085,0.165
srd_Latn,0.0721,0.0525,0.0721
cat_Latn,0.9071,0.5607,0.9071
kac_Latn,0.0168,0.0043,0.0168
jpn_Jpan,0.7243,0.4032,0.7243
smo_Latn,0.0257,0.0103,0.0257
wol_Latn,0.0534,0.0196,0.0534
mni_Beng,0.001,0.0002,0.001
deu_Latn,0.9545,0.6961,0.9545
tur_Latn,0.837,0.5273,0.837
