code,FacebookAI/xlm-roberta-large_max,FacebookAI/xlm-roberta-large_mean,avg
ban_Latn,0.1611,0.0983,0.1611
ltg_Latn,0.1443,0.0557,0.1443
tso_Latn,0.0237,0.0157,0.0237
mlt_Latn,0.0277,0.0164,0.0277
heb_Hebr,0.914,0.5723,0.914
ben_Beng,0.6571,0.3338,0.6571
swh_Latn,0.752,0.3815,0.752
glg_Latn,0.9615,0.6638,0.9615
xho_Latn,0.0929,0.0439,0.0929
tsn_Latn,0.0247,0.0136,0.0247
sin_Sinh,0.6749,0.3315,0.6749
kas_Deva,0.0346,0.0126,0.0346
kab_Latn,0.0089,0.0045,0.0089
bel_Cyrl,0.7648,0.3519,0.7648
slv_Latn,0.9269,0.6,0.9269
pap_Latn,0.2085,0.1053,0.2085
kac_Latn,0.0128,0.0055,0.0128
srd_Latn,0.2292,0.0836,0.2292
cat_Latn,0.9338,0.6047,0.9338
gle_Latn,0.5178,0.2185,0.5178
bam_Latn,0.0208,0.0108,0.0208
yor_Latn,0.0158,0.0092,0.0158
kon_Latn,0.0306,0.0206,0.0306
hrv_Latn,0.9466,0.6477,0.9466
zul_Latn,0.0929,0.0416,0.0929
bjn_Latn,0.3281,0.1679,0.3281
bjn_Arab,0.004,0.001,0.004
ceb_Latn,0.2372,0.121,0.2372
deu_Latn,0.9694,0.7221,0.9694
tur_Latn,0.9051,0.5649,0.9051
mni_Beng,0.002,0.0007,0.002
wol_Latn,0.0385,0.0208,0.0385
smo_Latn,0.0198,0.0128,0.0198
jpn_Jpan,0.8893,0.5235,0.8893
guj_Gujr,0.7312,0.3569,0.7312
ary_Arab,0.5405,0.2511,0.5405
eus_Latn,0.8014,0.4177,0.8014
awa_Deva,0.4605,0.1783,0.4605
mya_Mymr,0.503,0.1689,0.503
azj_Latn,0.7925,0.4258,0.7925
srp_Cyrl,0.9407,0.5968,0.9407
bug_Latn,0.0514,0.0385,0.0514
gaz_Latn,0.0445,0.0132,0.0445
arz_Arab,0.7866,0.3956,0.7866
fon_Latn,0.002,0.0003,0.002
aeb_Arab,0.7016,0.3476,0.7016
afr_Latn,0.9457,0.6215,0.9457
ajp_Arab,0.8241,0.4546,0.8241
mkd_Cyrl,0.9457,0.5754,0.9457
kmb_Latn,0.0188,0.0094,0.0188
kbp_Latn,0.003,0.0022,0.003
umb_Latn,0.0208,0.0109,0.0208
gla_Latn,0.2619,0.102,0.2619
ell_Grek,0.8864,0.4764,0.8864
hau_Latn,0.3874,0.1554,0.3874
bod_Tibt,0.0049,0.0028,0.0049
lij_Latn,0.2144,0.0831,0.2144
sag_Latn,0.0277,0.0125,0.0277
scn_Latn,0.1512,0.0694,0.1512
tha_Thai,0.7935,0.4355,0.7935
tam_Taml,0.6917,0.3421,0.6917
hat_Latn,0.0524,0.0321,0.0524
yue_Hant,0.8893,0.5543,0.8893
taq_Latn,0.0296,0.0169,0.0296
kat_Geor,0.7372,0.3571,0.7372
lus_Latn,0.0296,0.0145,0.0296
shn_Mymr,0.002,0.0014,0.002
kaz_Cyrl,0.7856,0.3236,0.7856
nso_Latn,0.0346,0.0226,0.0346
npi_Deva,0.7717,0.4213,0.7717
fao_Latn,0.3617,0.1519,0.3617
azb_Arab,0.0623,0.0239,0.0623
urd_Arab,0.7787,0.3124,0.7787
ayr_Latn,0.0119,0.0082,0.0119
oci_Latn,0.6522,0.3073,0.6522
por_Latn,0.9812,0.78,0.9812
kam_Latn,0.0375,0.0249,0.0375
sat_Olck,0.001,0.0001,0.001
mar_Deva,0.7955,0.3978,0.7955
vie_Latn,0.9358,0.6206,0.9358
lin_Latn,0.0375,0.0233,0.0375
fra_Latn,0.9476,0.6785,0.9476
swe_Latn,0.9773,0.8025,0.9773
tgl_Latn,0.8034,0.4232,0.8034
eng_Latn,1.0,1.0,1.0
acq_Arab,0.8142,0.471,0.8142
nld_Latn,0.9269,0.6905,0.9269
jav_Latn,0.584,0.3129,0.584
zho_Hans,0.8686,0.5559,0.8686
prs_Arab,0.914,0.6214,0.914
ssw_Latn,0.0356,0.0205,0.0356
sun_Latn,0.4526,0.2324,0.4526
aka_Latn,0.0237,0.014,0.0237
nno_Latn,0.9249,0.5879,0.9249
ars_Arab,0.834,0.4901,0.834
mri_Latn,0.0188,0.0114,0.0188
vec_Latn,0.416,0.1912,0.416
dan_Latn,0.9822,0.803,0.9822
ckb_Arab,0.003,0.0017,0.003
nus_Latn,0.0059,0.0019,0.0059
spa_Latn,0.9427,0.7004,0.9427
lim_Latn,0.2431,0.1265,0.2431
som_Latn,0.3024,0.1379,0.3024
pol_Latn,0.9209,0.6007,0.9209
uzn_Latn,0.6739,0.2925,0.6739
ind_Latn,0.9634,0.7489,0.9634
min_Arab,0.004,0.0014,0.004
ory_Orya,0.5929,0.2656,0.5929
bem_Latn,0.0277,0.02,0.0277
hye_Armn,0.754,0.3849,0.754
khm_Khmr,0.6186,0.2559,0.6186
san_Deva,0.2451,0.0754,0.2451
knc_Latn,0.0247,0.0132,0.0247
amh_Ethi,0.4536,0.2012,0.4536
khk_Cyrl,0.6986,0.3275,0.6986
tir_Ethi,0.0099,0.0032,0.0099
tpi_Latn,0.0642,0.042,0.0642
ast_Latn,0.6828,0.3657,0.6828
acm_Arab,0.834,0.4718,0.834
ilo_Latn,0.0613,0.0393,0.0613
cym_Latn,0.7065,0.3595,0.7065
kea_Latn,0.1868,0.0883,0.1868
bos_Latn,0.9615,0.6722,0.9615
mos_Latn,0.0089,0.0061,0.0089
war_Latn,0.1255,0.0788,0.1255
sot_Latn,0.0336,0.0155,0.0336
epo_Latn,0.9002,0.4842,0.9002
lit_Latn,0.8844,0.5195,0.8844
luo_Latn,0.0385,0.0206,0.0385
tel_Telu,0.6858,0.3469,0.6858
twi_Latn,0.0267,0.0129,0.0267
pes_Arab,0.9249,0.6432,0.9249
hin_Deva,0.8597,0.4905,0.8597
kir_Cyrl,0.6117,0.2864,0.6117
kmr_Latn,0.4032,0.1732,0.4032
apc_Arab,0.7955,0.4337,0.7955
run_Latn,0.0188,0.0106,0.0188
pan_Guru,0.6156,0.2574,0.6156
pbt_Arab,0.6947,0.2913,0.6947
knc_Arab,0.004,0.0019,0.004
crh_Latn,0.331,0.1358,0.331
mai_Deva,0.1571,0.0526,0.1571
ces_Latn,0.9496,0.6254,0.9496
pag_Latn,0.1591,0.0924,0.1591
ron_Latn,0.9585,0.6748,0.9585
