code,meta-llama/Llama-3.1-8B_max,meta-llama/Llama-3.1-8B_mean,avg
azj_Latn,0.77,0.3576,0.77
mya_Mymr,0.16,0.0606,0.16
awa_Deva,0.74,0.437,0.74
eus_Latn,0.84,0.4267,0.84
ary_Arab,0.7372,0.3547,0.7372
guj_Gujr,0.48,0.1876,0.48
jpn_Jpan,0.95,0.6985,0.95
smo_Latn,0.1146,0.036,0.1146
wol_Latn,0.21,0.0961,0.21
mni_Beng,0.0069,0.0031,0.0069
tur_Latn,0.9239,0.5587,0.9239
deu_Latn,1.0,0.8197,1.0
ceb_Latn,0.6976,0.2914,0.6976
bjn_Arab,0.0119,0.004,0.0119
gla_Latn,0.53,0.2236,0.53
umb_Latn,0.17,0.0655,0.17
kbp_Latn,0.06,0.0294,0.06
kmb_Latn,0.13,0.0642,0.13
mkd_Cyrl,0.99,0.6161,0.99
afr_Latn,0.9783,0.5723,0.9783
ajp_Arab,0.97,0.6139,0.97
fon_Latn,0.07,0.0233,0.07
aeb_Arab,0.8528,0.4485,0.8528
gaz_Latn,0.07,0.0327,0.07
arz_Arab,0.96,0.6167,0.96
bug_Latn,0.25,0.14,0.25
srp_Cyrl,0.98,0.62,0.98
sin_Sinh,0.3,0.1067,0.3
xho_Latn,0.23,0.0818,0.23
tsn_Latn,0.2,0.0921,0.2
swh_Latn,0.83,0.3533,0.83
glg_Latn,1.0,0.7664,1.0
ben_Beng,0.68,0.3452,0.68
heb_Hebr,0.95,0.5261,0.95
mlt_Latn,0.7885,0.3312,0.7885
tso_Latn,0.16,0.0682,0.16
ltg_Latn,0.43,0.197,0.43
ban_Latn,0.71,0.4094,0.71
bjn_Latn,0.71,0.39,0.71
zul_Latn,0.22,0.0806,0.22
kon_Latn,0.0662,0.0387,0.0662
hrv_Latn,0.98,0.6421,0.98
bam_Latn,0.12,0.0485,0.12
yor_Latn,0.0524,0.0261,0.0524
gle_Latn,0.73,0.3282,0.73
kac_Latn,0.14,0.0479,0.14
srd_Latn,0.86,0.4591,0.86
cat_Latn,0.9921,0.6503,0.9921
slv_Latn,0.9417,0.5051,0.9417
pap_Latn,0.85,0.487,0.85
bel_Cyrl,0.9,0.5458,0.9
kas_Deva,0.0968,0.0454,0.0968
kab_Latn,0.1,0.0336,0.1
nld_Latn,1.0,0.7752,1.0
acq_Arab,0.95,0.6406,0.95
tgl_Latn,0.94,0.5315,0.94
eng_Latn,1.0,1.0,1.0
swe_Latn,1.0,0.7612,1.0
fra_Latn,0.998,0.7649,0.998
lin_Latn,0.08,0.0436,0.08
vie_Latn,1.0,0.7918,1.0
mar_Deva,0.78,0.3909,0.78
sat_Olck,0.06,0.0176,0.06
por_Latn,1.0,0.8367,1.0
kam_Latn,0.2,0.1221,0.2
som_Latn,0.27,0.1209,0.27
lim_Latn,0.95,0.5579,0.95
spa_Latn,1.0,0.8512,1.0
vec_Latn,0.96,0.5982,0.96
dan_Latn,1.0,0.7155,1.0
nus_Latn,0.04,0.0227,0.04
ckb_Arab,0.4308,0.1308,0.4308
mri_Latn,0.2045,0.0641,0.2045
ars_Arab,0.98,0.6715,0.98
aka_Latn,0.16,0.0906,0.16
nno_Latn,0.96,0.6685,0.96
sun_Latn,0.77,0.4364,0.77
ssw_Latn,0.19,0.0782,0.19
prs_Arab,0.96,0.63,0.96
zho_Hans,1.0,0.847,1.0
jav_Latn,0.79,0.4239,0.79
taq_Latn,0.16,0.0697,0.16
yue_Hant,0.9763,0.716,0.9763
kat_Geor,0.6,0.2539,0.6
hat_Latn,0.5939,0.2221,0.5939
tha_Thai,0.95,0.6588,0.95
tam_Taml,0.43,0.207,0.43
scn_Latn,0.7658,0.379,0.7658
sag_Latn,0.19,0.0676,0.19
hau_Latn,0.66,0.26,0.66
lij_Latn,0.82,0.4694,0.82
bod_Tibt,0.09,0.0236,0.09
ell_Grek,0.99,0.6206,0.99
oci_Latn,1.0,0.6715,1.0
ayr_Latn,0.12,0.0527,0.12
urd_Arab,0.87,0.4655,0.87
azb_Arab,0.5,0.2218,0.5
fao_Latn,0.81,0.3894,0.81
nso_Latn,0.3,0.1061,0.3
npi_Deva,0.6403,0.2516,0.6403
kaz_Cyrl,0.7,0.34,0.7
shn_Mymr,0.07,0.0273,0.07
lus_Latn,0.1393,0.0569,0.1393
mai_Deva,0.5721,0.2248,0.5721
knc_Arab,0.05,0.0318,0.05
crh_Latn,0.5375,0.2157,0.5375
pbt_Arab,0.65,0.3121,0.65
pan_Guru,0.3715,0.106,0.3715
run_Latn,0.18,0.0745,0.18
apc_Arab,0.93,0.6267,0.93
kmr_Latn,0.55,0.2339,0.55
kir_Cyrl,0.66,0.2582,0.66
pes_Arab,0.97,0.6976,0.97
hin_Deva,0.8893,0.4812,0.8893
twi_Latn,0.25,0.1233,0.25
luo_Latn,0.29,0.1082,0.29
tel_Telu,0.43,0.1924,0.43
epo_Latn,0.98,0.5997,0.98
lit_Latn,0.89,0.5097,0.89
sot_Latn,0.25,0.0915,0.25
war_Latn,0.5988,0.2682,0.5988
kas_Arab,0.23,0.1058,0.23
bak_Cyrl,0.58,0.2524,0.58
uig_Arab,0.33,0.1291,0.33
ita_Latn,1.0,0.7867,1.0
min_Latn,0.78,0.4094,0.78
ron_Latn,1.0,0.7161,1.0
pag_Latn,0.4,0.2621,0.4
ces_Latn,0.9941,0.6699,0.9941
khm_Khmr,0.17,0.0779,0.17
bem_Latn,0.18,0.0903,0.18
hye_Armn,0.665,0.2466,0.665
min_Arab,0.06,0.0258,0.06
ind_Latn,0.99,0.7506,0.99
ory_Orya,0.1077,0.0304,0.1077
uzn_Latn,0.69,0.337,0.69
pol_Latn,1.0,0.7064,1.0
mos_Latn,0.18,0.0724,0.18
kea_Latn,0.69,0.4064,0.69
bos_Latn,1.0,0.6739,1.0
cym_Latn,0.86,0.4348,0.86
ilo_Latn,0.3429,0.143,0.3429
acm_Arab,0.9387,0.537,0.9387
ast_Latn,1.0,0.7442,1.0
tpi_Latn,0.52,0.2542,0.52
tir_Ethi,0.02,0.0082,0.02
khk_Cyrl,0.48,0.1818,0.48
amh_Ethi,0.04,0.0164,0.04
knc_Latn,0.09,0.04,0.09
san_Deva,0.53,0.2194,0.53
lug_Latn,0.21,0.1103,0.21
ukr_Cyrl,1.0,0.7667,1.0
kik_Latn,0.14,0.0706,0.14
cjk_Latn,0.0474,0.0266,0.0474
szl_Latn,0.83,0.4624,0.83
dik_Latn,0.0632,0.0287,0.0632
dyu_Latn,0.15,0.0785,0.15
slk_Latn,0.98,0.6455,0.98
tzm_Tfng,0.01,0.0061,0.01
fin_Latn,0.97,0.5752,0.97
snd_Arab,0.6,0.2718,0.6
ace_Latn,0.36,0.1952,0.36
isl_Latn,0.836,0.2994,0.836
taq_Tfng,0.01,0.0052,0.01
arb_Arab,0.98,0.6806,0.98
kan_Knda,0.48,0.2009,0.48
kor_Hang,0.96,0.6809,0.96
tuk_Latn,0.49,0.1967,0.49
ibo_Latn,0.43,0.1918,0.43
quy_Latn,0.24,0.0939,0.24
ltz_Latn,0.86,0.4615,0.86
hun_Latn,0.96,0.6361,0.96
lmo_Latn,0.86,0.4673,0.86
sna_Latn,0.22,0.0945,0.22
nob_Latn,1.0,0.7058,1.0
dzo_Tibt,0.004,0.0011,0.004
tat_Cyrl,0.66,0.3318,0.66
lvs_Latn,0.8874,0.4024,0.8874
plt_Latn,0.1502,0.0503,0.1502
mal_Mlym,0.37,0.163,0.37
fuv_Latn,0.23,0.1118,0.23
bul_Cyrl,0.98,0.653,0.98
bho_Deva,0.77,0.4206,0.77
lao_Laoo,0.08,0.0379,0.08
als_Latn,0.9061,0.4586,0.9061
fij_Latn,0.2,0.0624,0.2
ewe_Latn,0.09,0.0588,0.09
grn_Latn,0.18,0.0845,0.18
zsm_Latn,0.9822,0.5886,0.9822
est_Latn,0.94,0.493,0.94
tum_Latn,0.13,0.0755,0.13
zho_Hant,1.0,0.823,1.0
rus_Cyrl,1.0,0.8345,1.0
kin_Latn,0.23,0.0942,0.23
hne_Deva,0.74,0.3942,0.74
tgk_Cyrl,0.58,0.2582,0.58
nya_Latn,0.22,0.1109,0.22
ydd_Hebr,0.55,0.2342,0.55
lua_Latn,0.23,0.1342,0.23
arb_Latn,0.27,0.1158,0.27
mag_Deva,0.85,0.4906,0.85
ace_Arab,0.08,0.0345,0.08
fur_Latn,0.92,0.4924,0.92
asm_Beng,0.3221,0.1088,0.3221
