code,avg,avg_mean,min,max,num_models
kyu_Mymr,0.0017,0.0001,0.0,0.0097,17
cmo_Khmr,0.0017,0.0001,0.0,0.0097,17
ahk_Latn,0.0017,0.0002,0.0,0.0097,17
gnn_Latn,0.0017,0.0001,0.0,0.0097,17
auc_Latn,0.0023,0.0002,0.0,0.0097,17
cop_Copt,0.0023,0.0001,0.0,0.0097,17
kqo_Latn,0.0023,0.0001,0.0,0.0097,17
wbp_Latn,0.0023,0.0004,0.0,0.0097,17
hix_Latn,0.0023,0.0002,0.0,0.0097,17
kqy_Ethi,0.0029,0.0003,0.0,0.0194,17
aeu_Latn,0.0029,0.0003,0.0,0.0097,17
ojs_Cans,0.0029,0.0005,0.0,0.0097,17
aoi_Latn,0.0034,0.0003,0.0,0.0097,17
gub_Latn,0.0034,0.0003,0.0,0.0097,17
lif_Limb,0.0034,0.0003,0.0,0.0097,17
amm_Latn,0.0034,0.0004,0.0,0.0097,17
crm_Cans,0.0034,0.0004,0.0,0.0097,17
tqb_Latn,0.0034,0.0003,0.0,0.0097,17
pww_Thai,0.004,0.0003,0.0,0.0194,17
kss_Latn,0.004,0.0003,0.0,0.0097,17
lhu_Latn,0.004,0.0003,0.0,0.0291,17
rkb_Latn,0.004,0.0005,0.0,0.0097,17
ssx_Latn,0.004,0.0003,0.0,0.0097,17
gbo_Latn,0.0046,0.0006,0.0,0.0097,17
apz_Latn,0.0046,0.0004,0.0,0.0097,17
lhi_Latn,0.0046,0.0003,0.0,0.0097,17
lhm_Latn,0.0046,0.0005,0.0,0.0097,17
dnj_Latn,0.0046,0.0002,0.0,0.0097,17
guk_Ethi,0.0051,0.001,0.0,0.0194,17
apn_Latn,0.0051,0.0009,0.0,0.0194,17
ike_Cans,0.0051,0.0007,0.0,0.0194,17
ted_Latn,0.0051,0.0004,0.0,0.0388,17
ium_Laoo,0.0057,0.0006,0.0,0.0194,17
djr_Latn,0.0057,0.0006,0.0,0.0194,17
mbl_Latn,0.0057,0.0008,0.0,0.0097,17
akh_Latn,0.0057,0.001,0.0,0.0194,17
ktj_Latn,0.0057,0.0004,0.0,0.0291,17
kno_Latn,0.0057,0.0005,0.0,0.0388,17
mcf_Latn,0.0057,0.0008,0.0,0.0194,17
xav_Latn,0.0057,0.0005,0.0,0.0194,17
usa_Latn,0.0057,0.0005,0.0,0.0097,17
zyb_Latn,0.0057,0.0004,0.0,0.0097,17
