code,avg,avg_mean,min,max,num_models
sat_Olck,0.0089,0.0022,0.0,0.06,14
tzm_Tfng,0.0128,0.0031,0.001,0.081,14
taq_Tfng,0.016,0.0029,0.001,0.0919,14
dzo_Tibt,0.0257,0.0038,0.0,0.2806,14
knc_Arab,0.0319,0.0076,0.003,0.1374,14
min_Arab,0.032,0.0092,0.0,0.1126,14
bjn_Arab,0.0365,0.0105,0.001,0.1443,14
ace_Arab,0.0451,0.0131,0.0,0.166,14
nus_Latn,0.084,0.0175,0.0049,0.4753,14
bod_Tibt,0.087,0.0181,0.0,0.7945,14
kab_Latn,0.0891,0.0219,0.0089,0.6304,14
shn_Mymr,0.092,0.0112,0.002,0.5771,14
mni_Beng,0.0923,0.0172,0.001,0.4486,14
kbp_Latn,0.1111,0.0228,0.003,0.5504,14
gaz_Latn,0.1186,0.0305,0.0079,0.7668,14
tir_Ethi,0.1217,0.0266,0.001,0.9051,14
dyu_Latn,0.1218,0.0349,0.0128,0.417,14
ayr_Latn,0.1261,0.0334,0.0099,0.5326,14
umb_Latn,0.1304,0.0399,0.0208,0.4634,14
fon_Latn,0.1325,0.0252,0.002,0.7411,14
mos_Latn,0.1365,0.0369,0.0089,0.5524,14
cjk_Latn,0.1366,0.0452,0.0198,0.5,14
kac_Latn,0.1385,0.0302,0.0119,0.6038,14
kmb_Latn,0.1409,0.0444,0.0188,0.5613,14
knc_Latn,0.1449,0.0403,0.0247,0.5138,14
arb_Latn,0.1514,0.0535,0.0138,0.584,14
bam_Latn,0.1543,0.0428,0.0198,0.7698,14
taq_Latn,0.1548,0.0466,0.0296,0.5346,14
ewe_Latn,0.156,0.0397,0.0119,0.8172,14
dik_Latn,0.16,0.0471,0.0385,0.5405,14
sag_Latn,0.1703,0.052,0.0277,0.6887,14
fuv_Latn,0.1733,0.0619,0.0435,0.5652,14
kam_Latn,0.1747,0.0642,0.0375,0.6532,14
kik_Latn,0.1872,0.0498,0.0217,0.8903,14
luo_Latn,0.19,0.0612,0.0385,0.7194,14
tso_Latn,0.1925,0.059,0.0237,0.9012,14
lug_Latn,0.1927,0.067,0.0316,0.8241,14
quy_Latn,0.1947,0.0565,0.0128,0.6907,14
fij_Latn,0.1974,0.0613,0.0227,0.8468,14
bem_Latn,0.1997,0.0674,0.0277,0.8043,14
tum_Latn,0.2019,0.0648,0.0227,0.8854,14
yor_Latn,0.204,0.0643,0.0138,0.8261,14
kas_Deva,0.2056,0.0534,0.004,0.7401,14
lua_Latn,0.2068,0.0748,0.0306,0.8073,14
wol_Latn,0.2071,0.0676,0.0385,0.7945,14
aka_Latn,0.208,0.0618,0.0237,0.913,14
kon_Latn,0.2088,0.07,0.0296,0.8864,14
ssw_Latn,0.2228,0.0804,0.0296,0.8804,14
lus_Latn,0.2266,0.0665,0.0296,0.836,14
lin_Latn,0.2276,0.0808,0.0336,0.9338,14
twi_Latn,0.2326,0.073,0.0267,0.9101,14
run_Latn,0.2408,0.0911,0.0188,0.9565,14
tsn_Latn,0.2438,0.0841,0.0247,0.9387,14
kas_Arab,0.2516,0.0723,0.004,0.9289,14
sna_Latn,0.2536,0.1016,0.0257,0.9664,14
grn_Latn,0.2547,0.0822,0.0217,0.8735,14
bug_Latn,0.257,0.0989,0.0484,0.831,14
kin_Latn,0.2687,0.114,0.0198,0.9931,14
ibo_Latn,0.2717,0.1098,0.0128,0.9822,14
nso_Latn,0.2745,0.1022,0.0346,0.9664,14
nya_Latn,0.2789,0.1226,0.0356,0.9852,14
smo_Latn,0.2797,0.101,0.0198,0.9792,14
