code,mistralai/Mistral-7B-v0.3_max,mistralai/Mistral-7B-v0.3_mean,avg
mai_Deva,0.19,0.0818,0.19
crh_Latn,0.42,0.1739,0.42
knc_Arab,0.06,0.0245,0.06
pbt_Arab,0.12,0.0545,0.12
pan_Guru,0.03,0.01,0.03
run_Latn,0.12,0.0561,0.12
apc_Arab,0.76,0.3167,0.76
kmr_Latn,0.15,0.0679,0.15
kir_Cyrl,0.16,0.0664,0.16
pes_Arab,0.7,0.2761,0.7
hin_Deva,0.53,0.1976,0.53
twi_Latn,0.23,0.1064,0.23
tel_Telu,0.06,0.0203,0.06
luo_Latn,0.25,0.0988,0.25
epo_Latn,0.8,0.3773,0.8
lit_Latn,0.67,0.2742,0.67
sot_Latn,0.21,0.0636,0.21
war_Latn,0.42,0.23,0.42
kas_Arab,0.12,0.0476,0.12
bak_Cyrl,0.15,0.0621,0.15
uig_Arab,0.04,0.0133,0.04
ita_Latn,1.0,0.7455,1.0
min_Latn,0.4,0.2297,0.4
ron_Latn,0.99,0.6764,0.99
pag_Latn,0.43,0.2218,0.43
ces_Latn,1.0,0.7045,1.0
khm_Khmr,0.11,0.0342,0.11
hye_Armn,0.12,0.0476,0.12
bem_Latn,0.18,0.0988,0.18
ory_Orya,0.04,0.0097,0.04
min_Arab,0.03,0.0079,0.03
ind_Latn,0.98,0.5973,0.98
uzn_Latn,0.27,0.1009,0.27
pol_Latn,1.0,0.6903,1.0
mos_Latn,0.18,0.0773,0.18
bos_Latn,1.0,0.6773,1.0
kea_Latn,0.54,0.3024,0.54
cym_Latn,0.33,0.1439,0.33
ilo_Latn,0.29,0.1661,0.29
acm_Arab,0.8,0.3742,0.8
ast_Latn,0.92,0.6182,0.92
tpi_Latn,0.39,0.1918,0.39
tir_Ethi,0.02,0.0085,0.02
khk_Cyrl,0.1,0.0379,0.1
amh_Ethi,0.04,0.0164,0.04
knc_Latn,0.1,0.0521,0.1
san_Deva,0.14,0.0476,0.14
ukr_Cyrl,1.0,0.733,1.0
lug_Latn,0.23,0.0864,0.23
cjk_Latn,0.15,0.0703,0.15
szl_Latn,0.76,0.4261,0.76
kik_Latn,0.15,0.0755,0.15
dyu_Latn,0.12,0.0782,0.12
slk_Latn,0.98,0.55,0.98
dik_Latn,0.12,0.0615,0.12
tzm_Tfng,0.01,0.0061,0.01
fin_Latn,0.88,0.4245,0.88
snd_Arab,0.07,0.0282,0.07
ace_Latn,0.25,0.15,0.25
isl_Latn,0.57,0.1927,0.57
taq_Tfng,0.01,0.0061,0.01
arb_Arab,0.83,0.3991,0.83
kan_Knda,0.07,0.0339,0.07
kor_Hang,0.85,0.4906,0.85
tuk_Latn,0.17,0.0724,0.17
ibo_Latn,0.14,0.0582,0.14
ltz_Latn,0.52,0.2682,0.52
quy_Latn,0.15,0.0661,0.15
hun_Latn,0.96,0.6118,0.96
lmo_Latn,0.72,0.3833,0.72
nob_Latn,0.97,0.6536,0.97
sna_Latn,0.14,0.0709,0.14
dzo_Tibt,0.01,0.003,0.01
lvs_Latn,0.65,0.2242,0.65
tat_Cyrl,0.25,0.0918,0.25
plt_Latn,0.21,0.0588,0.21
mal_Mlym,0.03,0.0091,0.03
fuv_Latn,0.21,0.1115,0.21
bul_Cyrl,1.0,0.6664,1.0
bho_Deva,0.31,0.1227,0.31
lao_Laoo,0.05,0.0203,0.05
als_Latn,0.63,0.2421,0.63
fij_Latn,0.18,0.0664,0.18
ewe_Latn,0.1,0.0612,0.1
zsm_Latn,0.96,0.5355,0.96
grn_Latn,0.16,0.0888,0.16
est_Latn,0.54,0.2064,0.54
tum_Latn,0.13,0.0518,0.13
zho_Hant,0.94,0.6024,0.94
rus_Cyrl,0.99,0.75,0.99
kin_Latn,0.18,0.0648,0.18
hne_Deva,0.29,0.0824,0.29
tgk_Cyrl,0.12,0.0588,0.12
ydd_Hebr,0.06,0.0185,0.06
nya_Latn,0.2,0.0724,0.2
lua_Latn,0.29,0.117,0.29
arb_Latn,0.2,0.0933,0.2
mag_Deva,0.34,0.1348,0.34
ace_Arab,0.04,0.0118,0.04
asm_Beng,0.1,0.0339,0.1
fur_Latn,0.7,0.3379,0.7
azj_Latn,0.35,0.1161,0.35
mya_Mymr,0.02,0.0058,0.02
awa_Deva,0.25,0.1082,0.25
eus_Latn,0.22,0.1027,0.22
ary_Arab,0.53,0.2221,0.53
guj_Gujr,0.05,0.0155,0.05
jpn_Jpan,0.91,0.5012,0.91
smo_Latn,0.16,0.063,0.16
wol_Latn,0.2,0.0897,0.2
mni_Beng,0.09,0.0336,0.09
tur_Latn,0.73,0.3015,0.73
deu_Latn,1.0,0.7776,1.0
ceb_Latn,0.59,0.3064,0.59
bjn_Arab,0.06,0.0173,0.06
gla_Latn,0.16,0.0748,0.16
umb_Latn,0.13,0.0682,0.13
kbp_Latn,0.09,0.0364,0.09
kmb_Latn,0.11,0.0658,0.11
mkd_Cyrl,0.95,0.5333,0.95
