code,Qwen/Qwen3-8B-Base_max,Qwen/Qwen3-8B-Base_mean,avg
jpn_Jpan,0.9,0.6076,0.9
smo_Latn,0.1,0.0419,0.1
wol_Latn,0.13,0.0735,0.13
mni_Beng,0.09,0.0338,0.09
tur_Latn,0.8,0.4427,0.8
deu_Latn,0.98,0.7124,0.98
ceb_Latn,0.78,0.357,0.78
bjn_Arab,0.09,0.0432,0.09
azj_Latn,0.43,0.1697,0.43
mya_Mymr,0.05,0.0143,0.05
awa_Deva,0.62,0.2562,0.62
eus_Latn,0.62,0.2405,0.62
ary_Arab,0.67,0.3638,0.67
guj_Gujr,0.41,0.1543,0.41
ajp_Arab,0.92,0.5565,0.92
afr_Latn,0.96,0.5541,0.96
aeb_Arab,0.78,0.4759,0.78
fon_Latn,0.06,0.0241,0.06
arz_Arab,0.94,0.5103,0.94
gaz_Latn,0.03,0.0176,0.03
bug_Latn,0.2,0.127,0.2
srp_Cyrl,0.91,0.4562,0.91
gla_Latn,0.21,0.0751,0.21
umb_Latn,0.1,0.0516,0.1
kbp_Latn,0.06,0.0219,0.06
kmb_Latn,0.11,0.0446,0.11
mkd_Cyrl,0.85,0.4159,0.85
ben_Beng,0.56,0.2276,0.56
heb_Hebr,0.93,0.5468,0.93
mlt_Latn,0.63,0.2638,0.63
tso_Latn,0.14,0.0486,0.14
ltg_Latn,0.27,0.1357,0.27
ban_Latn,0.53,0.3397,0.53
sin_Sinh,0.08,0.0286,0.08
tsn_Latn,0.14,0.0543,0.14
xho_Latn,0.14,0.0559,0.14
glg_Latn,0.97,0.6592,0.97
swh_Latn,0.38,0.1443,0.38
pap_Latn,0.68,0.3584,0.68
slv_Latn,0.93,0.4611,0.93
bel_Cyrl,0.77,0.3649,0.77
kab_Latn,0.09,0.0284,0.09
kas_Deva,0.15,0.0646,0.15
bjn_Latn,0.54,0.2903,0.54
zul_Latn,0.12,0.0438,0.12
hrv_Latn,0.95,0.5022,0.95
kon_Latn,0.11,0.0827,0.11
yor_Latn,0.07,0.0397,0.07
bam_Latn,0.1,0.0443,0.1
gle_Latn,0.34,0.1138,0.34
cat_Latn,0.99,0.6081,0.99
srd_Latn,0.63,0.2976,0.63
kac_Latn,0.11,0.0238,0.11
fra_Latn,0.99,0.7549,0.99
lin_Latn,0.13,0.0946,0.13
vie_Latn,0.95,0.6776,0.95
mar_Deva,0.55,0.2284,0.55
sat_Olck,0.01,0.0005,0.01
kam_Latn,0.18,0.0911,0.18
por_Latn,0.99,0.7527,0.99
nld_Latn,0.96,0.6181,0.96
acq_Arab,0.93,0.5838,0.93
eng_Latn,1.0,1.0,1.0
tgl_Latn,0.89,0.4035,0.89
swe_Latn,0.98,0.5973,0.98
ars_Arab,0.95,0.6338,0.95
nno_Latn,0.91,0.5322,0.91
aka_Latn,0.1,0.0562,0.1
sun_Latn,0.73,0.363,0.73
ssw_Latn,0.16,0.0514,0.16
prs_Arab,0.7,0.3246,0.7
zho_Hans,0.98,0.8338,0.98
jav_Latn,0.74,0.3462,0.74
som_Latn,0.14,0.0386,0.14
lim_Latn,0.69,0.3581,0.69
spa_Latn,0.98,0.7468,0.98
nus_Latn,0.04,0.0257,0.04
ckb_Arab,0.23,0.0708,0.23
dan_Latn,0.95,0.5903,0.95
vec_Latn,0.85,0.4749,0.85
mri_Latn,0.16,0.0762,0.16
sag_Latn,0.08,0.0519,0.08
lij_Latn,0.74,0.3362,0.74
bod_Tibt,0.01,0.0041,0.01
hau_Latn,0.14,0.0711,0.14
ell_Grek,0.66,0.3035,0.66
kat_Geor,0.43,0.1776,0.43
taq_Latn,0.16,0.0676,0.16
yue_Hant,0.99,0.7824,0.99
hat_Latn,0.6,0.25,0.6
tam_Taml,0.33,0.1181,0.33
tha_Thai,0.88,0.5078,0.88
scn_Latn,0.72,0.3265,0.72
npi_Deva,0.47,0.2032,0.47
nso_Latn,0.15,0.0511,0.15
kaz_Cyrl,0.55,0.2349,0.55
shn_Mymr,0.02,0.0041,0.02
lus_Latn,0.18,0.0857,0.18
oci_Latn,0.9,0.5249,0.9
ayr_Latn,0.06,0.0384,0.06
urd_Arab,0.75,0.2978,0.75
azb_Arab,0.3,0.0878,0.3
fao_Latn,0.56,0.2051,0.56
apc_Arab,0.88,0.5362,0.88
kmr_Latn,0.26,0.1114,0.26
kir_Cyrl,0.3,0.1162,0.3
hin_Deva,0.74,0.3573,0.74
pes_Arab,0.75,0.3722,0.75
twi_Latn,0.2,0.0797,0.2
tel_Telu,0.36,0.1249,0.36
luo_Latn,0.2,0.0886,0.2
epo_Latn,0.92,0.5054,0.92
lit_Latn,0.85,0.4243,0.85
sot_Latn,0.15,0.0519,0.15
war_Latn,0.69,0.3143,0.69
mai_Deva,0.39,0.1919,0.39
crh_Latn,0.44,0.2257,0.44
knc_Arab,0.04,0.0192,0.04
pbt_Arab,0.35,0.1327,0.35
pan_Guru,0.44,0.1678,0.44
run_Latn,0.08,0.0443,0.08
pag_Latn,0.3,0.2184,0.3
ces_Latn,0.96,0.5341,0.96
kas_Arab,0.18,0.0797,0.18
bak_Cyrl,0.3,0.1154,0.3
uig_Arab,0.15,0.0519,0.15
ita_Latn,0.99,0.6927,0.99
min_Latn,0.6,0.2919,0.6
ron_Latn,0.94,0.5797,0.94
ory_Orya,0.15,0.06,0.15
min_Arab,0.07,0.0257,0.07
ind_Latn,0.96,0.6435,0.96
uzn_Latn,0.45,0.1881,0.45
pol_Latn,0.94,0.5527,0.94
khm_Khmr,0.15,0.07,0.15
hye_Armn,0.52,0.2111,0.52
bem_Latn,0.14,0.0462,0.14
tpi_Latn,0.29,0.1692,0.29
tir_Ethi,0.03,0.0114,0.03
khk_Cyrl,0.31,0.1122,0.31
amh_Ethi,0.13,0.0386,0.13
knc_Latn,0.07,0.0295,0.07
san_Deva,0.27,0.08,0.27
mos_Latn,0.14,0.07,0.14
bos_Latn,0.95,0.5259,0.95
kea_Latn,0.59,0.3208,0.59
cym_Latn,0.52,0.2014,0.52
ilo_Latn,0.39,0.163,0.39
acm_Arab,0.92,0.5965,0.92
ast_Latn,0.95,0.6016,0.95
taq_Tfng,0.01,0.0019,0.01
arb_Arab,0.92,0.6135,0.92
ukr_Cyrl,0.93,0.5192,0.93
lug_Latn,0.17,0.0714,0.17
cjk_Latn,0.11,0.0597,0.11
szl_Latn,0.75,0.3646,0.75
kik_Latn,0.12,0.0559,0.12
dyu_Latn,0.11,0.0659,0.11
slk_Latn,0.9,0.4862,0.9
dik_Latn,0.07,0.0289,0.07
tzm_Tfng,0.01,0.0022,0.01
fin_Latn,0.87,0.4073,0.87
snd_Arab,0.44,0.1724,0.44
ace_Latn,0.24,0.1546,0.24
isl_Latn,0.65,0.2122,0.65
dzo_Tibt,0.01,0.0022,0.01
lvs_Latn,0.84,0.3859,0.84
tat_Cyrl,0.41,0.1532,0.41
plt_Latn,0.13,0.0535,0.13
fuv_Latn,0.18,0.097,0.18
mal_Mlym,0.38,0.1446,0.38
bul_Cyrl,0.91,0.4959,0.91
kan_Knda,0.24,0.0949,0.24
kor_Hang,0.89,0.5303,0.89
tuk_Latn,0.25,0.0903,0.25
ibo_Latn,0.14,0.0476,0.14
ltz_Latn,0.75,0.3497,0.75
quy_Latn,0.08,0.0441,0.08
hun_Latn,0.84,0.4351,0.84
lmo_Latn,0.69,0.3392,0.69
nob_Latn,0.94,0.5681,0.94
sna_Latn,0.11,0.0478,0.11
zho_Hant,0.97,0.7768,0.97
rus_Cyrl,0.97,0.7232,0.97
kin_Latn,0.15,0.0592,0.15
hne_Deva,0.5,0.1973,0.5
tgk_Cyrl,0.35,0.1295,0.35
bho_Deva,0.58,0.2559,0.58
lao_Laoo,0.19,0.0903,0.19
fij_Latn,0.11,0.047,0.11
als_Latn,0.87,0.3714,0.87
ewe_Latn,0.11,0.0514,0.11
zsm_Latn,0.96,0.5595,0.96
grn_Latn,0.12,0.0686,0.12
est_Latn,0.81,0.3489,0.81
tum_Latn,0.09,0.0384,0.09
mag_Deva,0.66,0.2881,0.66
ace_Arab,0.11,0.0389,0.11
asm_Beng,0.35,0.1338,0.35
fur_Latn,0.74,0.3754,0.74
ydd_Hebr,0.49,0.1654,0.49
nya_Latn,0.15,0.063,0.15
lua_Latn,0.18,0.1,0.18
arb_Latn,0.22,0.0895,0.22
