code,mistralai/Mixtral-8x7B-v0.1_max,mistralai/Mixtral-8x7B-v0.1_mean,avg
acm_Arab,0.7026,0.2777,0.7026
afr_Latn,0.916,0.4619,0.916
als_Latn,0.418,0.1249,0.418
amh_Ethi,0.0049,0.0013,0.0049
apc_Arab,0.582,0.2053,0.582
arb_Arab,0.8113,0.3835,0.8113
arb_Latn,0.0672,0.0273,0.0672
ars_Arab,0.8103,0.3689,0.8103
arz_Arab,0.5899,0.239,0.5899
asm_Beng,0.0089,0.0025,0.0089
ast_Latn,0.8943,0.5267,0.8943
bam_Latn,0.0306,0.0158,0.0306
ben_Beng,0.1403,0.0348,0.1403
bod_Tibt,0.002,0.0002,0.002
bul_Cyrl,0.9822,0.6077,0.9822
cat_Latn,0.997,0.7215,0.997
ceb_Latn,0.336,0.1115,0.336
ces_Latn,0.9921,0.6373,0.9921
ckb_Arab,0.004,0.002,0.004
dan_Latn,0.9911,0.6469,0.9911
deu_Latn,0.999,0.8037,0.999
ell_Grek,0.6739,0.2451,0.6739
eng_Latn,1.0,1.0,1.0
est_Latn,0.4743,0.1402,0.4743
eus_Latn,0.1294,0.0352,0.1294
fin_Latn,0.8458,0.3571,0.8458
fra_Latn,1.0,0.8211,1.0
fuv_Latn,0.0761,0.0256,0.0761
gaz_Latn,0.0099,0.0023,0.0099
glg_Latn,0.9852,0.6407,0.9852
grn_Latn,0.0474,0.0258,0.0474
guj_Gujr,0.0069,0.001,0.0069
hat_Latn,0.2688,0.0758,0.2688
hau_Latn,0.0504,0.0169,0.0504
heb_Hebr,0.6018,0.2004,0.6018
hin_Deva,0.3429,0.0778,0.3429
hrv_Latn,0.9901,0.6163,0.9901
hun_Latn,0.9733,0.5686,0.9733
hye_Armn,0.0405,0.0133,0.0405
ibo_Latn,0.0395,0.0098,0.0395
ilo_Latn,0.0958,0.0428,0.0958
ind_Latn,0.9664,0.5261,0.9664
isl_Latn,0.4526,0.1267,0.4526
ita_Latn,0.999,0.7935,0.999
jav_Latn,0.1314,0.0571,0.1314
jpn_Jpan,0.835,0.4137,0.835
kan_Knda,0.0188,0.0054,0.0188
kat_Geor,0.0623,0.019,0.0623
kaz_Cyrl,0.0356,0.0101,0.0356
kea_Latn,0.2945,0.1433,0.2945
khk_Cyrl,0.0168,0.005,0.0168
khm_Khmr,0.0109,0.0039,0.0109
kin_Latn,0.0395,0.0134,0.0395
kir_Cyrl,0.0316,0.012,0.0316
kor_Hang,0.8399,0.4523,0.8399
lao_Laoo,0.0049,0.0019,0.0049
lin_Latn,0.0642,0.0242,0.0642
lit_Latn,0.5158,0.1594,0.5158
lug_Latn,0.0613,0.0173,0.0613
lvs_Latn,0.4457,0.1219,0.4457
mal_Mlym,0.0049,0.0013,0.0049
mar_Deva,0.0306,0.0063,0.0306
mlt_Latn,0.2144,0.07,0.2144
mri_Latn,0.1028,0.0368,0.1028
mya_Mymr,0.0049,0.0011,0.0049
nld_Latn,0.9911,0.6637,0.9911
nob_Latn,0.9733,0.5841,0.9733
nya_Latn,0.0613,0.0186,0.0613
oci_Latn,0.9111,0.5048,0.9111
pan_Guru,0.004,0.0005,0.004
pbt_Arab,0.0148,0.0045,0.0148
pes_Arab,0.6324,0.2164,0.6324
plt_Latn,0.0405,0.0116,0.0405
pol_Latn,0.9941,0.6378,0.9941
por_Latn,0.998,0.7552,0.998
ron_Latn,0.9921,0.6362,0.9921
rus_Cyrl,0.9921,0.7057,0.9921
shn_Mymr,0.002,0.0013,0.002
sin_Sinh,0.004,0.001,0.004
slk_Latn,0.9338,0.4921,0.9338
slv_Latn,0.9723,0.5639,0.9723
sna_Latn,0.0385,0.019,0.0385
som_Latn,0.0366,0.0106,0.0366
sot_Latn,0.0682,0.0203,0.0682
spa_Latn,0.996,0.797,0.996
ssw_Latn,0.0366,0.0124,0.0366
sun_Latn,0.1265,0.0646,0.1265
swe_Latn,0.9951,0.6721,0.9951
swh_Latn,0.1324,0.0403,0.1324
tam_Taml,0.0316,0.0064,0.0316
tel_Telu,0.0059,0.0021,0.0059
tgk_Cyrl,0.0326,0.0118,0.0326
tgl_Latn,0.667,0.2881,0.667
tha_Thai,0.163,0.0439,0.163
tir_Ethi,0.001,0.0001,0.001
tsn_Latn,0.0573,0.0163,0.0573
tso_Latn,0.0455,0.0173,0.0455
tur_Latn,0.664,0.2709,0.664
ukr_Cyrl,0.9931,0.6667,0.9931
urd_Arab,0.1581,0.0367,0.1581
uzn_Latn,0.0968,0.0254,0.0968
vie_Latn,0.8083,0.321,0.8083
war_Latn,0.1798,0.0841,0.1798
wol_Latn,0.0662,0.0227,0.0662
xho_Latn,0.0484,0.0163,0.0484
yor_Latn,0.0287,0.0089,0.0287
zho_Hans,0.9654,0.5532,0.9654
zho_Hant,0.9239,0.5064,0.9239
zsm_Latn,0.9279,0.453,0.9279
zul_Latn,0.0336,0.0125,0.0336
