code,mistralai/Mixtral-8x7B-v0.1_max,mistralai/Mixtral-8x7B-v0.1_mean,avg
acm_Arab,0.78,0.3839,0.78
afr_Latn,0.92,0.5442,0.92
als_Latn,0.64,0.2321,0.64
amh_Ethi,0.05,0.0145,0.05
apc_Arab,0.72,0.3118,0.72
arb_Arab,0.85,0.4494,0.85
arb_Latn,0.2,0.0906,0.2
ars_Arab,0.88,0.4439,0.88
arz_Arab,0.69,0.3073,0.69
asm_Beng,0.09,0.0303,0.09
ast_Latn,0.94,0.6215,0.94
bam_Latn,0.12,0.0355,0.12
ben_Beng,0.3,0.1379,0.3
bod_Tibt,0.03,0.0085,0.03
bul_Cyrl,0.99,0.6388,0.99
cat_Latn,1.0,0.7588,1.0
ceb_Latn,0.57,0.2194,0.57
ces_Latn,1.0,0.6955,1.0
ckb_Arab,0.02,0.0097,0.02
dan_Latn,0.99,0.6906,0.99
deu_Latn,1.0,0.8294,1.0
ell_Grek,0.71,0.3061,0.71
eng_Latn,1.0,1.0,1.0
est_Latn,0.56,0.2036,0.56
eus_Latn,0.29,0.1209,0.29
fin_Latn,0.92,0.4279,0.92
fra_Latn,1.0,0.8464,1.0
fuv_Latn,0.19,0.0912,0.19
gaz_Latn,0.04,0.0197,0.04
glg_Latn,0.97,0.6921,0.97
grn_Latn,0.14,0.0624,0.14
guj_Gujr,0.04,0.0206,0.04
hat_Latn,0.47,0.1797,0.47
hau_Latn,0.15,0.0588,0.15
heb_Hebr,0.64,0.2273,0.64
hin_Deva,0.61,0.2503,0.61
hrv_Latn,0.98,0.6636,0.98
hun_Latn,0.97,0.6224,0.97
hye_Armn,0.15,0.043,0.15
ibo_Latn,0.1,0.0485,0.1
ilo_Latn,0.24,0.1248,0.24
ind_Latn,0.99,0.6085,0.99
isl_Latn,0.57,0.1821,0.57
ita_Latn,1.0,0.8252,1.0
jav_Latn,0.29,0.1418,0.29
jpn_Jpan,0.84,0.4667,0.84
kan_Knda,0.09,0.0327,0.09
kat_Geor,0.22,0.0685,0.22
kaz_Cyrl,0.27,0.0785,0.27
kea_Latn,0.48,0.2479,0.48
khk_Cyrl,0.06,0.0242,0.06
khm_Khmr,0.05,0.0267,0.05
kin_Latn,0.14,0.0445,0.14
kir_Cyrl,0.11,0.047,0.11
kor_Hang,0.83,0.4888,0.83
lao_Laoo,0.02,0.01,0.02
lin_Latn,0.15,0.0867,0.15
lit_Latn,0.71,0.2852,0.71
lug_Latn,0.18,0.0645,0.18
lvs_Latn,0.6,0.2064,0.6
mal_Mlym,0.01,0.0036,0.01
mar_Deva,0.22,0.0573,0.22
mlt_Latn,0.35,0.147,0.35
mri_Latn,0.24,0.1209,0.24
mya_Mymr,0.04,0.0088,0.04
nld_Latn,1.0,0.7252,1.0
nob_Latn,0.96,0.6027,0.96
nya_Latn,0.15,0.0624,0.15
oci_Latn,0.93,0.5567,0.93
pan_Guru,0.06,0.0124,0.06
pbt_Arab,0.08,0.0403,0.08
pes_Arab,0.72,0.2797,0.72
plt_Latn,0.15,0.0442,0.15
pol_Latn,1.0,0.6945,1.0
por_Latn,1.0,0.7955,1.0
ron_Latn,1.0,0.6882,1.0
rus_Cyrl,1.0,0.7461,1.0
shn_Mymr,0.02,0.0088,0.02
sin_Sinh,0.03,0.0091,0.03
slk_Latn,0.94,0.5394,0.94
slv_Latn,0.96,0.6197,0.96
sna_Latn,0.12,0.0561,0.12
som_Latn,0.14,0.0458,0.14
sot_Latn,0.17,0.0509,0.17
spa_Latn,1.0,0.8282,1.0
ssw_Latn,0.15,0.047,0.15
sun_Latn,0.31,0.1706,0.31
swe_Latn,0.99,0.72,0.99
swh_Latn,0.33,0.1233,0.33
tam_Taml,0.08,0.0321,0.08
tel_Telu,0.05,0.0221,0.05
tgk_Cyrl,0.1,0.0442,0.1
tgl_Latn,0.81,0.4058,0.81
tha_Thai,0.33,0.1015,0.33
tir_Ethi,0.01,0.0027,0.01
tsn_Latn,0.19,0.0542,0.19
tso_Latn,0.13,0.0476,0.13
tur_Latn,0.66,0.297,0.66
ukr_Cyrl,1.0,0.7112,1.0
urd_Arab,0.4,0.1361,0.4
uzn_Latn,0.24,0.0803,0.24
vie_Latn,0.89,0.4491,0.89
war_Latn,0.37,0.1888,0.37
wol_Latn,0.16,0.0636,0.16
xho_Latn,0.13,0.0542,0.13
yor_Latn,0.08,0.0291,0.08
zho_Hans,0.96,0.6264,0.96
zho_Hant,0.93,0.5533,0.93
zsm_Latn,0.91,0.5145,0.91
zul_Latn,0.09,0.0394,0.09
